,r,fc
0,0.0000,0.3224
0,0.0100,0.3326
0,0.0200,0.3111
0,0.0300,0.28150000000000003
0,0.0400,0.2931
0,0.0500,0.2908
0,0.0600,0.26830000000000004
0,0.0700,0.2621
0,0.0800,0.26299999999999996
0,0.0900,0.18929999999999997
0,0.1000,0.2706
0,0.1100,0.21220000000000006
0,0.1200,0.17179999999999995
0,0.1300,0.131
0,0.1400,0.12999999999999998
0,0.1500,0.151
0,0.1600,0.2482
0,0.1700,0.11910000000000003
0,0.1800,0.2623
0,0.1900,0.2518
0,0.2000,0.23829999999999998
0,0.2100,0.25720000000000004
0,0.2200,0.22939999999999997
0,0.2300,0.25250000000000006
0,0.2400,0.24109999999999998
0,0.2500,0.23850000000000002
0,0.2600,0.24180000000000004
0,0.2700,0.2217
0,0.2800,0.2384
0,0.2900,0.24180000000000007
0,0.3000,0.23769999999999997
0,0.3100,0.1392
0,0.3200,0.2507
0,0.3300,0.23869999999999997
0,0.3400,0.2317
0,0.3500,0.24240000000000003
0,0.3600,0.22070000000000004
0,0.3700,0.24230000000000002
0,0.3800,0.2291
0,0.3900,0.24780000000000002
0,0.4000,0.2296
0,0.4100,0.24189999999999995
0,0.4200,0.239
0,0.4300,0.24200000000000002
0,0.4400,0.2292
0,0.4500,0.24969999999999995
0,0.4600,0.2389
0,0.4700,0.23799999999999996
0,0.4800,0.2323
0,0.4900,0.23159999999999997
0,0.5000,0.23060000000000003
0,0.5100,0.22860000000000003
0,0.5200,0.24000000000000005
0,0.5300,0.2394
0,0.5400,0.22060000000000002
0,0.5500,0.24220000000000003
0,0.5600,0.23740000000000003
0,0.5700,0.24939999999999998
0,0.5800,0.2285
0,0.5900,0.25109999999999993
0,0.6000,0.23780000000000004
0,0.6100,0.24880000000000002
0,0.6200,0.23920000000000002
0,0.6300,0.22190000000000004
0,0.6400,0.24220000000000003
0,0.6500,0.23200000000000004
0,0.6600,0.2322
0,0.6700,0.22739999999999994
0,0.6800,0.24799999999999997
0,0.6900,0.2302
0,0.7000,0.2422
0,0.7100,0.24830000000000005
0,0.7200,0.24299999999999997
0,0.7300,0.2322
0,0.7400,0.24109999999999998
0,0.7500,0.21789999999999998
0,0.7600,0.2284
0,0.7700,0.24170000000000003
0,0.7800,0.23290000000000002
0,0.7900,0.23740000000000003
0,0.8000,0.23240000000000005
0,0.8100,0.2323
0,0.8200,0.23990000000000003
0,0.8300,0.2512
0,0.8400,0.22160000000000005
0,0.8500,0.22779999999999997
0,0.8600,0.23010000000000003
0,0.8700,0.2419
0,0.8800,0.24850000000000003
0,0.8900,0.24949999999999994
0,0.9000,0.25079999999999997
0,0.9100,0.2519
0,0.9200,0.2315
0,0.9300,0.22220000000000004
0,0.9400,0.22930000000000003
0,0.9500,0.2429
0,0.9600,0.22750000000000004
0,0.9700,0.2383
0,0.9800,0.2394
0,0.9900,0.2508000000000001
