,r,fc,fl
0,0.0000,0.75074,0.0
0,0.0100,0.38983999999999996,0.0
0,0.0200,0.0,0.29
0,0.0300,0.0,0.0
0,0.0400,0.0,0.0
0,0.0500,0.0,0.0
0,0.0600,0.0,0.0
0,0.0700,0.0,0.0
0,0.0800,0.0,0.0
0,0.0900,0.0,0.0
0,0.1000,0.0,0.11
0,0.1100,0.0,0.28
0,0.1200,0.0,0.05
0,0.1300,0.0,0.55
0,0.1400,0.0,0.04
0,0.1500,0.0,0.13
0,0.1600,0.0,0.08
0,0.1700,0.0,0.0
0,0.1800,0.0,0.43
0,0.1900,0.0,0.0
0,0.2000,0.0,0.14
0,0.2100,0.0,0.25
0,0.2200,0.0,0.18
0,0.2300,0.0,0.19
0,0.2400,0.0,0.27
0,0.2500,0.0,0.04
0,0.2600,0.0,0.43
0,0.2700,0.0,0.26
0,0.2800,0.0,0.19
0,0.2900,0.0,0.21
0,0.3000,0.0,0.18
0,0.3100,0.0,0.26
0,0.3200,0.0,0.44
0,0.3300,0.0,0.29
0,0.3400,0.0,0.17
0,0.3500,0.0,0.2
0,0.3600,0.0,0.44
0,0.3700,0.0,0.1
0,0.3800,0.0,0.22
0,0.3900,0.0,0.17
0,0.4000,0.0,0.1
0,0.4100,0.0,0.14
0,0.4200,0.0,0.29
0,0.4300,0.0,0.39
0,0.4400,0.0,0.28
0,0.4500,0.0,0.0
0,0.4600,0.0,0.26
0,0.4700,0.0,0.06
0,0.4800,0.0,0.12
0,0.4900,0.0,0.37
