,r,fc
0,0.0000,0.9443999999999997
0,0.0050,0.97
0,0.0100,0.97
0,0.0150,0.9333999999999999
0,0.0200,0.9452999999999999
0,0.0250,0.9550000000000002
0,0.0300,0.9360999999999998
0,0.0350,0.9050000000000001
0,0.0400,0.9564999999999999
0,0.0450,0.9553999999999999
0,0.0500,0.9339999999999997
0,0.0550,0.97
0,0.0600,0.9555999999999999
0,0.0650,0.9347999999999999
0,0.0700,0.9352999999999997
0,0.0750,0.9250000000000002
0,0.0800,0.9255000000000001
0,0.0850,0.9354999999999998
0,0.0900,0.8962000000000002
0,0.0950,0.8718
0,0.1000,0.9547
0,0.1050,0.9247
0,0.1100,0.8864000000000003
0,0.1150,0.8602999999999997
0,0.1200,0.9036000000000003
0,0.1250,0.8851
0,0.1300,0.8911000000000001
0,0.1350,0.8586
0,0.1400,0.9350999999999999
0,0.1450,0.8736
0,0.1500,0.8375
0,0.1550,0.8532
0,0.1600,0.8715
0,0.1650,0.8597
0,0.1700,0.8728000000000001
0,0.1750,0.9233000000000001
0,0.1800,0.8146
0,0.1850,0.8238
0,0.1900,0.8480999999999997
0,0.1950,0.8046000000000001
0,0.2000,0.8680999999999999
0,0.2050,0.7772
0,0.2100,0.8497999999999999
0,0.2150,0.8592999999999997
0,0.2200,0.8454999999999998
0,0.2250,0.8656
0,0.2300,0.7826000000000001
0,0.2350,0.8057000000000002
0,0.2400,0.7460999999999999
0,0.2450,0.8559999999999998
0,0.2500,0.8236
0,0.2550,0.8261999999999999
0,0.2600,0.7728
0,0.2650,0.8281999999999998
0,0.2700,0.8645999999999998
0,0.2750,0.7291999999999998
0,0.2800,0.7599999999999999
0,0.2850,0.8248000000000001
0,0.2900,0.7418999999999998
0,0.2950,0.7430000000000001
0,0.3000,0.8429999999999999
0,0.3050,0.7588999999999999
0,0.3100,0.7626999999999998
0,0.3150,0.7627999999999999
0,0.3200,0.7533
0,0.3250,0.6781999999999999
0,0.3300,0.7762
0,0.3350,0.7496
0,0.3400,0.7972000000000001
0,0.3450,0.6833
0,0.3500,0.7510000000000001
0,0.3550,0.7614
0,0.3600,0.7654999999999998
0,0.3650,0.6794000000000001
0,0.3700,0.7626000000000001
0,0.3750,0.7563
0,0.3800,0.7818
0,0.3850,0.6841000000000002
0,0.3900,0.6703000000000001
0,0.3950,0.7371
0,0.4000,0.7131000000000001
0,0.4050,0.7559
0,0.4100,0.7039
0,0.4150,0.7539999999999999
0,0.4200,0.6943
0,0.4250,0.7410000000000001
0,0.4300,0.6782000000000002
0,0.4350,0.634
0,0.4400,0.6206
0,0.4450,0.6143
0,0.4500,0.6136
0,0.4550,0.6780999999999999
0,0.4600,0.6196
0,0.4650,0.6721
0,0.4700,0.5789
0,0.4750,0.6778
0,0.4800,0.6135
0,0.4850,0.7011
0,0.4900,0.5988
0,0.4950,0.7451000000000001
