,fc,fl
0,0.33,0.27
1,0.34,0.27
2,0.34,0.27
3,0.34,0.27
4,0.34,0.27
5,0.34,0.27
6,0.34,0.27
7,0.34,0.27
8,0.33,0.27
9,0.33,0.27
10,0.32,0.27
11,0.32,0.27
12,0.32,0.27
13,0.32,0.26
14,0.31,0.26
15,0.31,0.27
16,0.31,0.27
17,0.31,0.27
18,0.31,0.27
19,0.31,0.27
20,0.31,0.27
21,0.31,0.26
22,0.31,0.26
23,0.31,0.26
24,0.31,0.26
25,0.31,0.26
26,0.31,0.26
27,0.31,0.26
28,0.31,0.26
29,0.31,0.26
30,0.31,0.25
31,0.31,0.25
32,0.31,0.25
33,0.31,0.25
34,0.31,0.25
35,0.3,0.25
36,0.3,0.25
37,0.31,0.24
38,0.31,0.24
39,0.31,0.24
40,0.31,0.23
41,0.31,0.23
42,0.31,0.22
43,0.31,0.22
44,0.32,0.21
45,0.32,0.21
46,0.32,0.21
47,0.32,0.21
48,0.32,0.21
49,0.32,0.21
50,0.32,0.21
51,0.32,0.21
52,0.32,0.21
53,0.31,0.21
54,0.31,0.21
55,0.31,0.21
56,0.31,0.21
57,0.31,0.2
58,0.31,0.21
59,0.31,0.21
60,0.31,0.21
61,0.31,0.21
62,0.31,0.21
63,0.31,0.21
64,0.31,0.21
65,0.31,0.21
66,0.31,0.21
67,0.31,0.21
68,0.31,0.21
69,0.31,0.21
70,0.31,0.21
71,0.31,0.21
72,0.31,0.21
73,0.31,0.21
74,0.31,0.21
75,0.31,0.21
76,0.31,0.21
77,0.31,0.21
78,0.31,0.21
79,0.31,0.21
80,0.31,0.21
81,0.31,0.21
82,0.31,0.21
83,0.31,0.21
84,0.31,0.21
85,0.31,0.2
86,0.3,0.2
87,0.3,0.2
88,0.3,0.2
89,0.3,0.21
90,0.3,0.21
91,0.3,0.21
92,0.29,0.21
93,0.29,0.21
94,0.29,0.21
95,0.29,0.21
96,0.28,0.21
97,0.29,0.2
98,0.29,0.2
99,0.28,0.2
100,0.28,0.2
101,0.29,0.2
102,0.3,0.19
103,0.31,0.19
104,0.32,0.19
105,0.32,0.19
106,0.32,0.19
107,0.33,0.18
108,0.33,0.18
109,0.33,0.17
110,0.33,0.17
111,0.34,0.16
112,0.34,0.16
113,0.34,0.16
114,0.35,0.15
115,0.35,0.14
116,0.35,0.14
117,0.35,0.14
118,0.35,0.14
119,0.35,0.14
120,0.35,0.14
121,0.35,0.14
122,0.34,0.14
123,0.34,0.14
124,0.34,0.14
125,0.34,0.14
126,0.34,0.14
127,0.34,0.14
128,0.34,0.14
129,0.34,0.14
130,0.34,0.14
131,0.34,0.14
132,0.34,0.14
133,0.34,0.14
134,0.34,0.14
135,0.34,0.14
136,0.34,0.14
137,0.34,0.14
138,0.33,0.15
139,0.33,0.15
140,0.32,0.15
141,0.32,0.15
142,0.32,0.16
143,0.32,0.16
144,0.32,0.16
145,0.32,0.15
146,0.32,0.15
147,0.32,0.15
148,0.32,0.15
149,0.32,0.15
150,0.31,0.15
151,0.31,0.15
152,0.31,0.15
153,0.31,0.15
154,0.31,0.15
155,0.31,0.15
156,0.31,0.15
157,0.3,0.15
158,0.3,0.15
159,0.3,0.15
160,0.3,0.15
161,0.3,0.15
162,0.3,0.15
163,0.29,0.15
164,0.29,0.15
165,0.29,0.15
166,0.29,0.15
167,0.29,0.15
168,0.29,0.15
169,0.29,0.15
170,0.29,0.15
171,0.29,0.15
172,0.29,0.15
173,0.29,0.15
174,0.29,0.15
175,0.3,0.15
176,0.29,0.15
177,0.29,0.15
178,0.29,0.15
179,0.29,0.15
180,0.28,0.15
181,0.28,0.15
182,0.28,0.15
183,0.28,0.15
184,0.28,0.15
185,0.28,0.15
186,0.28,0.14
187,0.28,0.14
188,0.28,0.14
189,0.29,0.13
190,0.29,0.13
191,0.29,0.13
192,0.28,0.13
193,0.28,0.13
194,0.28,0.13
195,0.28,0.13
196,0.28,0.13
197,0.28,0.13
198,0.28,0.13
199,0.28,0.13
200,0.28,0.13
201,0.28,0.13
202,0.28,0.13
203,0.28,0.13
204,0.28,0.13
205,0.28,0.13
206,0.28,0.13
207,0.28,0.13
208,0.27,0.13
209,0.28,0.12
210,0.27,0.12
211,0.27,0.12
212,0.27,0.12
213,0.27,0.12
214,0.28,0.11
215,0.28,0.11
216,0.27,0.11
217,0.27,0.11
218,0.27,0.1
219,0.27,0.1
220,0.27,0.1
221,0.26,0.1
222,0.26,0.1
223,0.26,0.1
224,0.26,0.1
225,0.26,0.1
226,0.26,0.1
227,0.26,0.1
228,0.26,0.1
229,0.26,0.1
230,0.26,0.1
231,0.26,0.1
232,0.26,0.11
233,0.26,0.11
234,0.26,0.11
235,0.26,0.11
236,0.26,0.11
237,0.26,0.11
238,0.26,0.11
239,0.26,0.11
240,0.26,0.11
241,0.26,0.11
242,0.26,0.11
243,0.26,0.11
244,0.26,0.11
245,0.26,0.11
246,0.26,0.11
247,0.26,0.11
248,0.26,0.11
249,0.26,0.11
250,0.26,0.11
251,0.26,0.11
252,0.26,0.11
253,0.26,0.11
254,0.26,0.11
255,0.26,0.11
256,0.26,0.11
257,0.26,0.11
258,0.26,0.11
259,0.26,0.1
260,0.26,0.1
261,0.26,0.1
262,0.26,0.1
263,0.25,0.1
264,0.25,0.1
265,0.25,0.1
266,0.25,0.1
267,0.25,0.1
268,0.26,0.09
269,0.26,0.09
270,0.26,0.09
271,0.25,0.09
