,fc,fl
0,0.33,0.32
1,0.33,0.32
2,0.33,0.32
3,0.33,0.32
4,0.33,0.32
5,0.32,0.33
6,0.32,0.33
7,0.32,0.33
8,0.32,0.33
9,0.31,0.34
10,0.31,0.34
11,0.31,0.34
12,0.32,0.34
13,0.32,0.34
14,0.32,0.33
15,0.32,0.32
16,0.32,0.32
17,0.32,0.31
18,0.33,0.3
19,0.33,0.3
20,0.33,0.3
21,0.33,0.3
22,0.33,0.3
23,0.33,0.3
24,0.34,0.29
25,0.34,0.29
26,0.34,0.29
27,0.34,0.28
28,0.34,0.28
29,0.34,0.28
30,0.33,0.28
31,0.33,0.28
32,0.33,0.28
33,0.33,0.28
34,0.32,0.28
35,0.32,0.28
36,0.32,0.28
37,0.31,0.28
38,0.31,0.28
39,0.3,0.28
40,0.3,0.27
41,0.3,0.27
42,0.3,0.27
43,0.3,0.27
44,0.31,0.26
45,0.31,0.26
46,0.31,0.26
47,0.3,0.27
48,0.3,0.28
49,0.3,0.28
50,0.3,0.28
51,0.3,0.28
52,0.29,0.28
53,0.29,0.28
54,0.29,0.28
55,0.29,0.28
56,0.29,0.28
57,0.28,0.28
58,0.29,0.28
59,0.29,0.28
60,0.29,0.28
61,0.29,0.27
62,0.29,0.27
63,0.29,0.27
64,0.29,0.27
65,0.28,0.27
66,0.28,0.27
67,0.28,0.27
68,0.28,0.27
69,0.28,0.27
70,0.28,0.27
71,0.28,0.27
72,0.28,0.27
73,0.28,0.27
74,0.28,0.27
75,0.28,0.27
76,0.28,0.27
77,0.28,0.27
78,0.27,0.28
79,0.27,0.28
80,0.27,0.28
81,0.27,0.28
82,0.26,0.28
83,0.26,0.28
84,0.26,0.27
85,0.26,0.27
86,0.26,0.27
87,0.26,0.27
88,0.26,0.27
89,0.26,0.27
90,0.27,0.27
91,0.27,0.27
92,0.27,0.27
93,0.27,0.26
94,0.27,0.26
95,0.27,0.26
96,0.27,0.26
97,0.27,0.26
98,0.27,0.26
99,0.27,0.26
100,0.26,0.26
101,0.26,0.26
102,0.26,0.26
103,0.26,0.27
104,0.27,0.27
105,0.27,0.27
106,0.27,0.27
107,0.26,0.27
108,0.26,0.27
109,0.26,0.27
110,0.26,0.27
111,0.26,0.27
112,0.26,0.27
113,0.26,0.27
114,0.26,0.27
115,0.26,0.27
116,0.26,0.27
117,0.26,0.27
118,0.27,0.27
119,0.27,0.27
120,0.27,0.27
121,0.28,0.26
122,0.27,0.26
123,0.27,0.26
124,0.28,0.25
125,0.27,0.25
126,0.27,0.26
127,0.27,0.26
128,0.27,0.26
129,0.27,0.25
130,0.27,0.25
131,0.27,0.25
132,0.27,0.25
133,0.27,0.25
134,0.27,0.24
135,0.27,0.24
136,0.27,0.24
137,0.27,0.24
138,0.26,0.24
139,0.26,0.23
140,0.25,0.23
141,0.25,0.23
142,0.25,0.22
143,0.25,0.23
144,0.25,0.23
145,0.25,0.23
146,0.25,0.23
147,0.25,0.23
148,0.25,0.24
149,0.25,0.24
150,0.25,0.24
151,0.25,0.24
152,0.26,0.23
153,0.26,0.23
154,0.25,0.23
155,0.25,0.23
156,0.25,0.23
157,0.25,0.23
158,0.25,0.23
159,0.25,0.23
160,0.25,0.24
161,0.25,0.25
162,0.26,0.24
163,0.26,0.23
164,0.26,0.23
165,0.26,0.23
166,0.26,0.23
167,0.26,0.23
168,0.26,0.23
169,0.26,0.23
170,0.26,0.23
171,0.25,0.23
172,0.24,0.24
173,0.24,0.24
174,0.24,0.24
175,0.24,0.24
176,0.24,0.24
177,0.24,0.24
178,0.24,0.24
179,0.24,0.24
180,0.24,0.24
181,0.25,0.24
182,0.25,0.24
183,0.25,0.24
184,0.25,0.24
185,0.25,0.24
186,0.25,0.24
187,0.25,0.24
188,0.25,0.24
189,0.25,0.24
190,0.25,0.24
191,0.25,0.24
192,0.26,0.23
193,0.26,0.23
194,0.26,0.23
195,0.26,0.23
196,0.25,0.23
197,0.26,0.22
198,0.26,0.22
199,0.26,0.22
200,0.25,0.23
201,0.25,0.23
202,0.25,0.22
203,0.25,0.22
204,0.25,0.22
205,0.25,0.22
206,0.25,0.22
207,0.25,0.22
208,0.25,0.22
209,0.25,0.22
210,0.25,0.22
211,0.25,0.22
212,0.24,0.23
213,0.24,0.23
214,0.24,0.23
215,0.25,0.23
216,0.25,0.23
217,0.25,0.23
218,0.25,0.23
219,0.25,0.23
220,0.25,0.23
221,0.25,0.23
222,0.25,0.23
223,0.25,0.23
224,0.25,0.23
225,0.25,0.23
226,0.24,0.23
227,0.24,0.23
228,0.24,0.23
229,0.24,0.23
230,0.25,0.22
231,0.25,0.22
232,0.25,0.22
233,0.25,0.22
234,0.25,0.22
235,0.26,0.22
236,0.26,0.22
237,0.26,0.22
238,0.26,0.21
239,0.26,0.21
240,0.26,0.21
241,0.26,0.21
242,0.26,0.21
243,0.26,0.21
244,0.26,0.21
245,0.26,0.21
246,0.26,0.21
247,0.26,0.21
248,0.26,0.21
249,0.25,0.21
250,0.25,0.21
251,0.25,0.21
252,0.25,0.21
253,0.24,0.21
254,0.24,0.21
255,0.24,0.21
256,0.23,0.21
257,0.23,0.21
258,0.23,0.21
259,0.23,0.21
260,0.23,0.21
261,0.23,0.21
262,0.23,0.21
263,0.23,0.21
264,0.22,0.21
265,0.22,0.21
266,0.22,0.21
267,0.22,0.21
268,0.22,0.21
269,0.22,0.2
270,0.22,0.2
271,0.22,0.21
272,0.22,0.21
273,0.22,0.22
274,0.22,0.23
275,0.22,0.23
276,0.22,0.22
277,0.22,0.22
278,0.22,0.22
279,0.22,0.22
280,0.22,0.22
281,0.22,0.22
282,0.22,0.22
283,0.22,0.22
284,0.22,0.22
285,0.22,0.22
286,0.22,0.22
287,0.22,0.22
288,0.22,0.22
289,0.22,0.22
290,0.22,0.22
291,0.22,0.22
292,0.22,0.22
293,0.22,0.22
294,0.22,0.22
295,0.22,0.22
296,0.22,0.22
297,0.22,0.22
298,0.22,0.22
299,0.22,0.22
300,0.22,0.21
301,0.22,0.21
302,0.22,0.21
303,0.22,0.21
304,0.22,0.21
305,0.22,0.21
306,0.22,0.21
307,0.22,0.21
308,0.22,0.21
309,0.22,0.21
310,0.23,0.21
311,0.23,0.21
312,0.23,0.21
313,0.24,0.21
314,0.24,0.21
315,0.24,0.21
316,0.24,0.2
317,0.24,0.19
318,0.24,0.18
319,0.24,0.18
320,0.24,0.18
321,0.24,0.19
322,0.24,0.19
323,0.24,0.19
324,0.24,0.19
325,0.24,0.19
326,0.24,0.19
327,0.24,0.19
328,0.24,0.19
329,0.24,0.19
330,0.24,0.19
331,0.24,0.18
332,0.24,0.18
333,0.24,0.18
334,0.24,0.18
335,0.24,0.18
336,0.24,0.18
337,0.24,0.18
338,0.24,0.18
339,0.24,0.18
340,0.24,0.18
341,0.24,0.18
342,0.24,0.18
343,0.24,0.18
344,0.24,0.18
345,0.24,0.18
346,0.24,0.18
347,0.23,0.19
348,0.23,0.19
349,0.24,0.18
350,0.24,0.17
351,0.24,0.17
352,0.24,0.17
353,0.24,0.17
354,0.24,0.17
355,0.24,0.17
356,0.24,0.17
357,0.24,0.17
358,0.24,0.17
359,0.24,0.17
360,0.24,0.17
361,0.24,0.17
362,0.24,0.17
363,0.24,0.17
364,0.24,0.17
365,0.24,0.17
366,0.24,0.17
367,0.24,0.17
368,0.24,0.17
369,0.24,0.17
370,0.24,0.17
371,0.24,0.17
372,0.24,0.16
373,0.24,0.16
374,0.24,0.16
375,0.24,0.16
376,0.24,0.16
377,0.24,0.16
378,0.24,0.16
379,0.24,0.16
380,0.24,0.16
381,0.24,0.16
382,0.24,0.16
383,0.24,0.16
384,0.25,0.15
385,0.25,0.15
386,0.25,0.15
387,0.25,0.15
388,0.25,0.15
389,0.25,0.15
390,0.25,0.15
391,0.25,0.15
392,0.25,0.15
393,0.25,0.15
394,0.25,0.14
395,0.25,0.14
396,0.25,0.13
397,0.25,0.13
398,0.25,0.13
399,0.25,0.13
400,0.25,0.14
401,0.25,0.14
402,0.25,0.14
403,0.25,0.15
404,0.25,0.15
405,0.25,0.15
406,0.24,0.15
407,0.24,0.15
408,0.23,0.15
409,0.24,0.15
410,0.24,0.15
411,0.23,0.16
412,0.23,0.16
413,0.23,0.16
414,0.23,0.16
415,0.23,0.16
416,0.23,0.16
417,0.23,0.16
418,0.23,0.16
419,0.23,0.16
420,0.23,0.16
421,0.23,0.16
422,0.23,0.16
423,0.23,0.16
424,0.23,0.16
425,0.23,0.16
426,0.23,0.16
427,0.23,0.15
428,0.23,0.15
429,0.24,0.14
430,0.24,0.14
431,0.24,0.14
432,0.24,0.14
433,0.24,0.14
434,0.24,0.14
435,0.24,0.14
436,0.24,0.14
437,0.24,0.14
438,0.24,0.14
439,0.24,0.15
440,0.24,0.15
441,0.24,0.15
442,0.24,0.15
443,0.24,0.15
444,0.24,0.15
445,0.24,0.15
446,0.24,0.15
447,0.23,0.15
448,0.23,0.15
449,0.23,0.15
450,0.24,0.14
451,0.24,0.14
452,0.24,0.14
453,0.24,0.14
454,0.24,0.14
455,0.24,0.14
456,0.24,0.14
457,0.24,0.14
458,0.24,0.14
459,0.24,0.14
460,0.24,0.15
461,0.24,0.14
462,0.24,0.14
463,0.24,0.14
464,0.24,0.14
465,0.24,0.14
466,0.24,0.14
467,0.24,0.14
468,0.24,0.14
469,0.24,0.14
470,0.24,0.14
471,0.24,0.14
472,0.24,0.14
473,0.24,0.14
474,0.23,0.14
475,0.23,0.14
476,0.23,0.14
477,0.23,0.14
478,0.23,0.14
479,0.23,0.14
480,0.23,0.14
481,0.23,0.14
482,0.23,0.14
483,0.23,0.14
484,0.23,0.14
485,0.23,0.14
486,0.23,0.14
487,0.23,0.13
488,0.23,0.13
489,0.23,0.13
490,0.23,0.13
491,0.23,0.13
492,0.23,0.13
493,0.23,0.13
494,0.23,0.13
495,0.23,0.13
496,0.23,0.13
497,0.23,0.13
498,0.23,0.13
499,0.23,0.13
500,0.23,0.13
501,0.23,0.13
502,0.23,0.13
503,0.23,0.13
504,0.23,0.13
505,0.23,0.13
506,0.23,0.13
507,0.23,0.13
508,0.23,0.13
509,0.23,0.13
510,0.23,0.13
511,0.23,0.13
512,0.23,0.13
513,0.24,0.12
514,0.24,0.12
515,0.24,0.12
516,0.24,0.12
517,0.24,0.12
518,0.24,0.12
519,0.24,0.12
520,0.24,0.12
521,0.24,0.12
522,0.24,0.13
523,0.24,0.13
524,0.24,0.13
525,0.24,0.13
526,0.24,0.13
527,0.24,0.13
528,0.24,0.13
529,0.24,0.13
530,0.24,0.13
531,0.24,0.13
532,0.24,0.13
533,0.24,0.13
534,0.23,0.13
535,0.23,0.12
536,0.23,0.12
537,0.23,0.12
538,0.23,0.12
539,0.23,0.12
540,0.23,0.12
541,0.23,0.12
542,0.23,0.12
543,0.23,0.12
544,0.23,0.12
545,0.23,0.12
546,0.23,0.12
547,0.23,0.12
548,0.23,0.12
549,0.23,0.12
550,0.23,0.12
551,0.23,0.12
552,0.23,0.12
553,0.24,0.11
554,0.24,0.11
555,0.24,0.11
556,0.24,0.11
557,0.24,0.11
558,0.24,0.11
559,0.24,0.11
560,0.25,0.1
561,0.25,0.1
562,0.25,0.1
563,0.25,0.11
564,0.25,0.11
565,0.25,0.11
566,0.25,0.11
567,0.24,0.11
568,0.24,0.11
569,0.24,0.11
570,0.24,0.11
571,0.24,0.11
572,0.24,0.11
573,0.24,0.11
574,0.24,0.11
575,0.24,0.11
576,0.24,0.11
577,0.24,0.11
578,0.24,0.11
579,0.24,0.1
580,0.24,0.1
581,0.24,0.09
582,0.24,0.09
583,0.24,0.09
584,0.24,0.09
585,0.24,0.09
586,0.24,0.09
587,0.23,0.09
588,0.23,0.09
589,0.23,0.09
590,0.23,0.09
591,0.23,0.09
592,0.23,0.09
593,0.23,0.09
594,0.22,0.09
595,0.22,0.09
596,0.22,0.09
597,0.22,0.09
598,0.22,0.09
599,0.22,0.09
600,0.22,0.09
601,0.23,0.08
602,0.23,0.08
603,0.23,0.08
604,0.23,0.08
605,0.23,0.08
606,0.23,0.08
607,0.23,0.08
608,0.23,0.08
609,0.23,0.08
610,0.23,0.08
611,0.23,0.08
612,0.23,0.08
613,0.23,0.08
614,0.23,0.08
615,0.23,0.08
616,0.24,0.08
617,0.24,0.08
618,0.24,0.08
619,0.23,0.08
620,0.23,0.08
621,0.23,0.08
622,0.23,0.08
623,0.23,0.08
624,0.23,0.08
625,0.23,0.08
626,0.23,0.08
627,0.23,0.08
628,0.23,0.08
629,0.23,0.08
630,0.23,0.08
631,0.23,0.08
632,0.23,0.08
633,0.23,0.08
634,0.23,0.08
635,0.23,0.08
636,0.23,0.08
637,0.23,0.08
638,0.23,0.08
639,0.22,0.08
640,0.22,0.08
641,0.22,0.08
642,0.22,0.08
643,0.22,0.08
644,0.22,0.08
645,0.22,0.08
646,0.22,0.07
647,0.22,0.07
648,0.22,0.07
649,0.22,0.07
650,0.21,0.07
651,0.21,0.07
652,0.21,0.07
653,0.21,0.07
654,0.21,0.07
655,0.2,0.07
656,0.2,0.07
657,0.2,0.07
658,0.2,0.07
659,0.21,0.06
660,0.21,0.06
661,0.21,0.06
662,0.21,0.06
663,0.21,0.06
664,0.21,0.06
665,0.21,0.06
666,0.21,0.06
667,0.21,0.06
668,0.21,0.06
669,0.21,0.06
670,0.2,0.06
671,0.2,0.05
672,0.2,0.05
673,0.2,0.05
674,0.2,0.05
675,0.2,0.05
676,0.2,0.05
677,0.2,0.05
678,0.2,0.05
679,0.2,0.05
680,0.2,0.05
681,0.19,0.05
682,0.2,0.04
683,0.2,0.04
684,0.2,0.04
685,0.2,0.04
686,0.2,0.04
687,0.21,0.04
688,0.21,0.04
689,0.21,0.04
690,0.21,0.04
691,0.21,0.04
692,0.21,0.04
693,0.21,0.04
694,0.21,0.04
695,0.21,0.04
696,0.21,0.04
697,0.21,0.04
698,0.21,0.04
699,0.21,0.04
700,0.21,0.04
701,0.21,0.04
702,0.21,0.04
703,0.21,0.04
704,0.21,0.04
705,0.21,0.04
706,0.21,0.04
707,0.21,0.04
708,0.21,0.04
709,0.21,0.04
710,0.21,0.04
711,0.21,0.04
712,0.21,0.04
713,0.2,0.04
714,0.2,0.04
715,0.2,0.04
716,0.2,0.04
717,0.2,0.04
718,0.2,0.04
719,0.2,0.04
720,0.2,0.04
721,0.2,0.04
722,0.2,0.04
723,0.2,0.04
724,0.2,0.04
725,0.2,0.04
726,0.2,0.04
727,0.2,0.04
728,0.2,0.04
729,0.2,0.04
730,0.2,0.04
731,0.2,0.04
732,0.2,0.04
733,0.2,0.04
734,0.2,0.04
735,0.2,0.04
736,0.2,0.04
737,0.2,0.04
738,0.2,0.03
739,0.2,0.03
740,0.19,0.04
741,0.19,0.04
742,0.19,0.04
743,0.19,0.04
744,0.19,0.04
745,0.18,0.04
746,0.18,0.04
747,0.18,0.04
748,0.18,0.04
749,0.18,0.04
750,0.18,0.04
751,0.18,0.04
752,0.18,0.04
753,0.18,0.04
754,0.18,0.04
755,0.17,0.04
756,0.17,0.04
757,0.17,0.05
758,0.17,0.05
759,0.17,0.05
760,0.17,0.05
761,0.17,0.05
762,0.17,0.05
763,0.17,0.05
764,0.17,0.05
765,0.17,0.05
766,0.17,0.05
767,0.17,0.05
768,0.17,0.05
769,0.17,0.05
770,0.17,0.05
771,0.17,0.05
772,0.17,0.05
773,0.17,0.05
774,0.17,0.05
775,0.17,0.05
776,0.17,0.05
777,0.17,0.05
778,0.17,0.05
779,0.17,0.05
780,0.17,0.05
781,0.17,0.05
782,0.18,0.05
783,0.18,0.05
784,0.18,0.04
785,0.18,0.04
786,0.18,0.04
787,0.18,0.04
788,0.18,0.04
789,0.18,0.04
790,0.19,0.04
791,0.19,0.04
792,0.19,0.04
793,0.19,0.04
794,0.19,0.04
795,0.19,0.04
796,0.19,0.04
797,0.19,0.05
798,0.19,0.05
799,0.19,0.05
800,0.19,0.05
801,0.19,0.05
802,0.19,0.05
803,0.19,0.05
804,0.19,0.05
805,0.19,0.05
806,0.19,0.05
807,0.19,0.05
808,0.19,0.05
809,0.19,0.05
810,0.19,0.05
811,0.19,0.05
812,0.19,0.05
813,0.19,0.05
814,0.19,0.05
815,0.19,0.05
816,0.19,0.05
817,0.19,0.05
818,0.19,0.05
819,0.2,0.05
820,0.2,0.05
821,0.2,0.05
822,0.2,0.05
823,0.2,0.05
824,0.2,0.05
825,0.2,0.05
826,0.2,0.05
827,0.2,0.05
828,0.2,0.05
829,0.2,0.05
830,0.2,0.05
831,0.19,0.05
832,0.19,0.05
833,0.19,0.05
834,0.19,0.05
835,0.19,0.05
836,0.19,0.04
837,0.19,0.04
838,0.19,0.04
839,0.19,0.04
840,0.18,0.04
841,0.18,0.04
842,0.17,0.04
843,0.17,0.04
844,0.17,0.04
845,0.17,0.04
846,0.17,0.04
847,0.17,0.04
848,0.17,0.04
849,0.16,0.04
850,0.16,0.04
851,0.16,0.04
852,0.16,0.04
853,0.16,0.04
854,0.16,0.04
855,0.16,0.04
856,0.16,0.04
857,0.16,0.04
858,0.16,0.04
859,0.16,0.04
860,0.16,0.04
861,0.16,0.04
862,0.16,0.04
863,0.16,0.04
864,0.16,0.04
865,0.16,0.04
866,0.16,0.04
867,0.16,0.04
868,0.17,0.04
869,0.16,0.04
870,0.16,0.04
871,0.16,0.04
872,0.15,0.04
873,0.15,0.04
874,0.15,0.04
875,0.15,0.04
876,0.15,0.04
877,0.14,0.04
878,0.14,0.04
879,0.14,0.04
880,0.14,0.04
881,0.14,0.04
882,0.14,0.04
883,0.14,0.04
884,0.14,0.04
885,0.13,0.04
886,0.13,0.04
887,0.12,0.04
888,0.12,0.04
889,0.12,0.04
890,0.12,0.04
891,0.12,0.04
892,0.12,0.04
893,0.12,0.04
894,0.12,0.04
895,0.12,0.04
896,0.12,0.04
897,0.12,0.04
898,0.12,0.04
899,0.12,0.04
900,0.12,0.04
901,0.12,0.04
902,0.12,0.04
903,0.12,0.04
904,0.12,0.04
905,0.12,0.04
906,0.12,0.04
907,0.12,0.04
908,0.12,0.04
909,0.12,0.04
910,0.12,0.04
911,0.12,0.04
912,0.12,0.04
913,0.12,0.04
914,0.12,0.04
915,0.12,0.04
916,0.12,0.04
917,0.12,0.04
918,0.12,0.04
919,0.12,0.04
920,0.12,0.04
921,0.12,0.04
922,0.12,0.04
923,0.12,0.04
924,0.12,0.04
925,0.12,0.04
926,0.12,0.04
927,0.12,0.04
928,0.12,0.04
929,0.12,0.04
930,0.12,0.04
931,0.12,0.04
932,0.12,0.04
933,0.12,0.04
934,0.12,0.04
935,0.12,0.04
936,0.11,0.04
937,0.11,0.04
938,0.11,0.04
939,0.11,0.03
940,0.11,0.03
941,0.11,0.03
942,0.11,0.03
943,0.11,0.03
944,0.11,0.03
945,0.11,0.03
946,0.11,0.03
947,0.11,0.03
948,0.11,0.03
949,0.11,0.03
950,0.11,0.03
951,0.11,0.03
952,0.11,0.03
953,0.11,0.03
954,0.11,0.03
955,0.11,0.03
956,0.11,0.03
957,0.11,0.03
958,0.11,0.03
959,0.11,0.03
960,0.11,0.03
961,0.11,0.03
962,0.11,0.03
963,0.11,0.03
964,0.11,0.03
965,0.11,0.03
966,0.11,0.03
967,0.11,0.03
968,0.11,0.03
969,0.11,0.03
970,0.11,0.03
971,0.1,0.03
972,0.1,0.03
973,0.1,0.03
974,0.1,0.03
975,0.1,0.03
976,0.1,0.03
977,0.1,0.03
978,0.1,0.03
979,0.1,0.03
