,fc,fl
0,0.33,0.34
1,0.32,0.34
2,0.31,0.35
3,0.31,0.35
4,0.31,0.35
5,0.31,0.35
6,0.31,0.35
7,0.3,0.35
8,0.3,0.36
9,0.3,0.35
10,0.3,0.35
11,0.29,0.35
12,0.29,0.35
13,0.3,0.35
14,0.3,0.35
15,0.3,0.35
16,0.29,0.36
17,0.29,0.36
18,0.29,0.36
19,0.29,0.36
20,0.29,0.36
21,0.29,0.36
22,0.29,0.36
23,0.29,0.36
24,0.29,0.36
25,0.29,0.36
26,0.28,0.36
27,0.27,0.37
28,0.28,0.37
29,0.28,0.37
30,0.28,0.37
31,0.28,0.36
32,0.27,0.37
33,0.27,0.37
34,0.27,0.37
35,0.27,0.37
36,0.28,0.36
37,0.28,0.36
38,0.28,0.36
39,0.28,0.35
40,0.28,0.35
41,0.28,0.35
42,0.28,0.35
43,0.28,0.34
44,0.28,0.34
45,0.28,0.33
46,0.28,0.33
47,0.28,0.33
48,0.28,0.33
49,0.28,0.33
50,0.28,0.33
51,0.28,0.33
52,0.28,0.33
53,0.28,0.33
54,0.28,0.32
55,0.28,0.32
56,0.28,0.32
57,0.28,0.32
58,0.28,0.32
59,0.28,0.32
60,0.29,0.32
61,0.29,0.32
62,0.29,0.32
63,0.29,0.32
64,0.29,0.32
65,0.29,0.32
66,0.29,0.32
67,0.29,0.32
68,0.29,0.32
69,0.29,0.32
70,0.3,0.32
71,0.3,0.32
72,0.3,0.32
73,0.3,0.32
74,0.29,0.33
75,0.3,0.33
76,0.29,0.33
77,0.29,0.32
78,0.29,0.32
79,0.29,0.32
80,0.29,0.32
81,0.29,0.32
82,0.29,0.32
83,0.29,0.32
84,0.29,0.32
85,0.29,0.32
86,0.29,0.32
87,0.29,0.32
88,0.29,0.32
89,0.29,0.32
90,0.29,0.32
91,0.29,0.32
92,0.29,0.32
93,0.29,0.32
94,0.29,0.32
95,0.29,0.32
96,0.29,0.32
97,0.29,0.32
98,0.29,0.31
99,0.29,0.31
100,0.29,0.31
101,0.29,0.31
102,0.29,0.3
103,0.29,0.3
104,0.29,0.3
105,0.29,0.3
106,0.29,0.31
107,0.29,0.31
108,0.29,0.31
109,0.29,0.3
110,0.29,0.3
111,0.29,0.3
112,0.29,0.3
113,0.29,0.3
114,0.29,0.3
115,0.29,0.3
116,0.29,0.3
117,0.28,0.31
118,0.28,0.31
119,0.28,0.31
120,0.28,0.31
121,0.27,0.32
122,0.26,0.32
123,0.26,0.32
124,0.26,0.32
125,0.26,0.32
126,0.26,0.32
127,0.26,0.32
128,0.26,0.32
129,0.26,0.32
130,0.26,0.32
131,0.26,0.32
132,0.26,0.32
133,0.27,0.31
134,0.27,0.31
135,0.27,0.31
136,0.26,0.32
137,0.26,0.32
138,0.26,0.32
139,0.26,0.32
140,0.26,0.32
141,0.26,0.32
142,0.26,0.32
143,0.26,0.32
144,0.26,0.32
145,0.26,0.32
146,0.26,0.32
147,0.26,0.32
148,0.26,0.32
149,0.26,0.32
150,0.26,0.32
151,0.26,0.32
152,0.25,0.32
153,0.25,0.32
154,0.25,0.32
155,0.25,0.32
156,0.25,0.32
157,0.25,0.32
158,0.25,0.32
159,0.25,0.32
