,fc,fl
0,0.33,0.35
1,0.33,0.35
2,0.33,0.35
3,0.34,0.34
4,0.34,0.34
5,0.34,0.34
6,0.34,0.34
7,0.34,0.34
8,0.34,0.34
9,0.33,0.34
10,0.33,0.34
11,0.33,0.34
12,0.32,0.34
13,0.31,0.34
14,0.31,0.34
15,0.31,0.34
16,0.3,0.34
17,0.3,0.34
18,0.3,0.34
19,0.29,0.34
20,0.29,0.34
21,0.29,0.34
22,0.28,0.35
23,0.28,0.35
24,0.28,0.35
25,0.28,0.36
26,0.28,0.36
27,0.28,0.35
28,0.28,0.35
29,0.28,0.35
30,0.28,0.35
31,0.28,0.35
32,0.28,0.35
33,0.28,0.35
34,0.28,0.35
35,0.28,0.35
36,0.28,0.35
37,0.28,0.35
38,0.28,0.35
39,0.28,0.35
40,0.28,0.35
41,0.28,0.34
42,0.28,0.34
43,0.28,0.34
44,0.28,0.34
45,0.28,0.34
46,0.28,0.34
47,0.27,0.34
48,0.27,0.34
49,0.27,0.34
50,0.27,0.34
51,0.27,0.34
52,0.28,0.33
53,0.28,0.33
54,0.28,0.33
55,0.28,0.32
56,0.28,0.32
57,0.28,0.32
58,0.28,0.32
59,0.28,0.32
60,0.27,0.33
61,0.27,0.32
62,0.27,0.32
63,0.27,0.32
64,0.27,0.32
65,0.27,0.32
66,0.27,0.31
67,0.27,0.31
68,0.27,0.31
69,0.27,0.31
70,0.27,0.31
71,0.27,0.31
72,0.26,0.31
73,0.26,0.31
74,0.26,0.31
75,0.26,0.31
76,0.26,0.31
77,0.26,0.31
78,0.26,0.31
79,0.26,0.31
80,0.26,0.31
81,0.26,0.31
82,0.26,0.31
83,0.25,0.31
84,0.25,0.31
85,0.25,0.31
86,0.25,0.31
87,0.25,0.31
88,0.25,0.31
89,0.25,0.31
90,0.25,0.31
91,0.25,0.31
92,0.25,0.31
93,0.25,0.31
94,0.25,0.31
95,0.24,0.31
96,0.23,0.31
97,0.23,0.31
98,0.23,0.31
99,0.23,0.31
100,0.23,0.31
101,0.23,0.31
102,0.22,0.31
103,0.22,0.31
104,0.22,0.32
105,0.21,0.32
106,0.21,0.32
107,0.21,0.32
108,0.21,0.32
109,0.21,0.32
110,0.21,0.32
111,0.21,0.32
112,0.21,0.32
113,0.21,0.32
114,0.21,0.32
115,0.21,0.32
116,0.21,0.32
117,0.21,0.32
118,0.21,0.32
119,0.21,0.32
120,0.2,0.32
121,0.2,0.32
122,0.2,0.32
123,0.2,0.32
124,0.2,0.33
125,0.2,0.33
126,0.2,0.33
127,0.2,0.33
128,0.2,0.33
129,0.19,0.33
130,0.19,0.33
131,0.19,0.33
132,0.19,0.32
133,0.19,0.32
134,0.2,0.31
135,0.2,0.3
136,0.2,0.3
137,0.2,0.29
138,0.2,0.29
139,0.2,0.28
140,0.2,0.28
141,0.2,0.28
142,0.2,0.28
143,0.2,0.28
144,0.2,0.28
145,0.2,0.28
146,0.2,0.28
147,0.2,0.28
148,0.2,0.28
149,0.2,0.28
150,0.2,0.28
151,0.2,0.28
152,0.2,0.28
153,0.2,0.28
154,0.2,0.27
155,0.2,0.26
156,0.2,0.27
157,0.2,0.27
158,0.2,0.26
159,0.2,0.25
160,0.2,0.25
161,0.19,0.25
162,0.19,0.25
163,0.19,0.26
164,0.19,0.26
165,0.19,0.26
166,0.19,0.26
167,0.19,0.26
168,0.19,0.25
169,0.19,0.25
170,0.19,0.25
171,0.19,0.25
172,0.19,0.25
173,0.19,0.25
174,0.18,0.26
175,0.18,0.26
176,0.18,0.26
177,0.18,0.26
178,0.18,0.26
179,0.18,0.26
180,0.18,0.26
181,0.18,0.26
182,0.18,0.26
183,0.18,0.26
184,0.18,0.26
185,0.18,0.26
186,0.18,0.26
187,0.18,0.26
188,0.18,0.26
189,0.18,0.26
190,0.18,0.26
191,0.18,0.26
192,0.18,0.26
193,0.18,0.26
194,0.18,0.25
195,0.18,0.25
196,0.18,0.25
197,0.18,0.25
198,0.18,0.25
199,0.18,0.25
200,0.17,0.26
201,0.17,0.25
202,0.17,0.25
203,0.17,0.25
204,0.17,0.25
205,0.17,0.25
206,0.17,0.25
207,0.17,0.25
208,0.17,0.25
209,0.17,0.25
210,0.17,0.25
211,0.17,0.25
212,0.17,0.25
213,0.17,0.25
214,0.17,0.25
215,0.16,0.25
216,0.16,0.25
217,0.16,0.25
218,0.16,0.25
219,0.16,0.25
220,0.16,0.25
221,0.16,0.25
222,0.16,0.25
223,0.16,0.26
224,0.16,0.26
225,0.16,0.26
226,0.16,0.26
227,0.16,0.26
228,0.16,0.25
229,0.16,0.25
230,0.16,0.24
231,0.16,0.24
232,0.16,0.24
233,0.16,0.24
234,0.16,0.24
235,0.16,0.24
236,0.16,0.24
237,0.16,0.23
238,0.16,0.23
239,0.16,0.23
240,0.16,0.22
241,0.15,0.22
242,0.15,0.22
243,0.15,0.22
244,0.15,0.22
245,0.15,0.22
246,0.15,0.21
