,fc,fl
319,0.1,0.2
320,0.1,0.2
321,0.1,0.2
322,0.1,0.2
323,0.1,0.2
324,0.1,0.2
325,0.1,0.2
326,0.1,0.2
327,0.1,0.2
328,0.11,0.19
329,0.11,0.19
330,0.11,0.2
331,0.11,0.2
332,0.1,0.2
333,0.1,0.2
334,0.1,0.2
335,0.1,0.2
336,0.1,0.2
337,0.09,0.21
338,0.09,0.21
339,0.09,0.21
340,0.09,0.21
341,0.09,0.21
342,0.09,0.21
343,0.09,0.21
344,0.09,0.21
345,0.09,0.21
346,0.09,0.21
347,0.09,0.21
348,0.09,0.21
349,0.08,0.21
350,0.08,0.21
351,0.08,0.21
352,0.08,0.21
353,0.08,0.21
354,0.08,0.21
355,0.08,0.21
356,0.08,0.21
357,0.08,0.21
358,0.08,0.21
359,0.08,0.21
360,0.08,0.22
361,0.08,0.22
362,0.08,0.22
363,0.08,0.22
364,0.08,0.22
365,0.08,0.22
366,0.08,0.22
367,0.08,0.22
368,0.07,0.22
369,0.07,0.22
370,0.07,0.22
371,0.06,0.23
372,0.06,0.23
373,0.06,0.23
374,0.06,0.23
375,0.06,0.23
376,0.06,0.23
377,0.06,0.23
378,0.05,0.24
379,0.05,0.24
380,0.05,0.24
381,0.05,0.23
382,0.05,0.23
383,0.05,0.23
384,0.05,0.23
385,0.05,0.23
386,0.05,0.23
387,0.05,0.23
388,0.05,0.23
389,0.05,0.23
390,0.05,0.23
391,0.05,0.23
392,0.05,0.23
393,0.05,0.23
394,0.05,0.23
395,0.05,0.23
396,0.05,0.23
397,0.05,0.24
398,0.05,0.24
399,0.05,0.24
400,0.05,0.25
401,0.05,0.25
402,0.04,0.25
403,0.04,0.25
404,0.04,0.26
405,0.04,0.26
406,0.04,0.26
407,0.04,0.26
408,0.04,0.26
409,0.04,0.26
410,0.04,0.25
411,0.04,0.25
412,0.04,0.25
413,0.04,0.25
414,0.04,0.25
415,0.04,0.25
416,0.04,0.24
417,0.04,0.24
418,0.04,0.24
419,0.04,0.24
420,0.04,0.24
421,0.04,0.23
422,0.04,0.23
423,0.04,0.23
424,0.04,0.23
425,0.04,0.23
426,0.04,0.23
427,0.04,0.23
428,0.04,0.23
429,0.04,0.23
430,0.04,0.24
431,0.04,0.24
432,0.03,0.25
433,0.03,0.24
434,0.03,0.24
435,0.03,0.24
436,0.03,0.24
437,0.03,0.24
438,0.03,0.24
439,0.03,0.24
440,0.03,0.24
441,0.04,0.23
442,0.04,0.24
443,0.04,0.23
444,0.04,0.23
445,0.04,0.23
446,0.04,0.23
447,0.04,0.23
448,0.04,0.23
449,0.04,0.23
450,0.04,0.23
451,0.04,0.23
452,0.04,0.23
453,0.04,0.23
454,0.04,0.23
455,0.04,0.23
456,0.04,0.23
457,0.04,0.23
458,0.04,0.23
459,0.04,0.23
460,0.04,0.23
461,0.04,0.23
462,0.04,0.23
463,0.04,0.23
464,0.04,0.23
465,0.04,0.23
466,0.04,0.24
467,0.04,0.24
468,0.04,0.24
469,0.04,0.24
470,0.04,0.24
471,0.04,0.25
472,0.04,0.25
473,0.04,0.25
474,0.04,0.25
475,0.04,0.25
476,0.04,0.25
477,0.04,0.25
478,0.04,0.25
479,0.04,0.25
480,0.04,0.25
481,0.04,0.25
482,0.04,0.25
483,0.04,0.25
484,0.04,0.25
485,0.04,0.26
486,0.04,0.26
487,0.04,0.26
488,0.04,0.26
489,0.04,0.26
490,0.04,0.26
491,0.04,0.26
492,0.04,0.26
493,0.04,0.26
494,0.04,0.26
495,0.04,0.27
496,0.04,0.27
497,0.04,0.27
498,0.04,0.27
499,0.04,0.27
500,0.04,0.27
501,0.04,0.27
502,0.04,0.27
503,0.04,0.27
504,0.03,0.27
505,0.03,0.27
506,0.03,0.28
507,0.03,0.28
508,0.03,0.28
509,0.03,0.28
510,0.03,0.28
511,0.03,0.28
512,0.03,0.28
513,0.03,0.28
514,0.03,0.28
515,0.03,0.27
516,0.02,0.27
517,0.02,0.27
518,0.02,0.27
519,0.02,0.27
520,0.02,0.27
521,0.02,0.28
522,0.02,0.28
523,0.02,0.28
524,0.02,0.28
525,0.02,0.28
526,0.02,0.28
527,0.02,0.28
528,0.02,0.28
529,0.02,0.28
530,0.02,0.28
531,0.02,0.28
532,0.02,0.28
533,0.02,0.28
534,0.02,0.28
535,0.02,0.28
536,0.03,0.28
537,0.03,0.28
538,0.03,0.27
539,0.03,0.28
540,0.03,0.28
541,0.03,0.28
542,0.03,0.28
543,0.03,0.28
544,0.03,0.28
545,0.03,0.28
546,0.03,0.28
547,0.03,0.28
548,0.03,0.28
549,0.03,0.28
550,0.03,0.28
551,0.03,0.28
552,0.03,0.28
553,0.03,0.28
554,0.03,0.28
555,0.03,0.27
556,0.03,0.27
557,0.03,0.28
558,0.03,0.28
559,0.03,0.28
560,0.03,0.28
561,0.03,0.28
562,0.03,0.27
563,0.03,0.27
564,0.03,0.27
565,0.03,0.27
566,0.03,0.27
567,0.03,0.26
568,0.03,0.26
569,0.03,0.26
570,0.03,0.26
571,0.03,0.26
572,0.03,0.26
573,0.03,0.26
574,0.03,0.26
575,0.03,0.26
576,0.03,0.26
577,0.03,0.26
578,0.03,0.26
579,0.03,0.26
580,0.03,0.26
581,0.03,0.26
582,0.03,0.26
583,0.03,0.26
584,0.03,0.27
585,0.03,0.27
586,0.03,0.27
587,0.03,0.28
588,0.03,0.28
589,0.03,0.28
590,0.03,0.28
591,0.03,0.27
592,0.03,0.27
593,0.03,0.27
594,0.03,0.27
595,0.03,0.27
596,0.03,0.27
597,0.03,0.27
598,0.03,0.27
599,0.03,0.27
600,0.03,0.26
601,0.02,0.26
602,0.02,0.26
603,0.02,0.26
604,0.02,0.26
605,0.02,0.26
606,0.02,0.26
607,0.02,0.26
608,0.02,0.26
609,0.02,0.26
610,0.02,0.26
611,0.02,0.26
612,0.02,0.26
613,0.02,0.26
614,0.02,0.27
615,0.02,0.28
616,0.02,0.28
617,0.02,0.28
618,0.02,0.28
619,0.02,0.28
620,0.02,0.28
621,0.02,0.28
622,0.02,0.28
623,0.02,0.28
624,0.02,0.28
625,0.02,0.28
626,0.02,0.28
627,0.02,0.28
628,0.02,0.28
629,0.02,0.28
630,0.02,0.28
631,0.01,0.28
632,0.01,0.28
633,0.01,0.28
634,0.01,0.28
635,0.01,0.28
636,0.01,0.28
637,0.01,0.28
638,0.01,0.28
639,0.01,0.28
640,0.01,0.28
641,0.01,0.28
642,0.01,0.28
643,0.01,0.28
644,0.01,0.28
645,0.01,0.28
646,0.01,0.28
647,0.01,0.28
648,0.01,0.28
649,0.01,0.28
650,0.01,0.28
651,0.01,0.27
652,0.01,0.27
653,0.01,0.27
654,0.01,0.27
655,0.01,0.27
656,0.01,0.27
657,0.01,0.27
658,0.01,0.27
659,0.01,0.27
660,0.01,0.27
661,0.01,0.27
662,0.01,0.27
663,0.01,0.27
664,0.01,0.28
665,0.01,0.28
666,0.01,0.28
667,0.01,0.28
668,0.01,0.28
669,0.01,0.28
670,0.01,0.28
671,0.01,0.28
672,0.01,0.28
673,0.01,0.28
674,0.01,0.28
675,0.01,0.28
676,0.01,0.28
677,0.01,0.28
678,0.01,0.28
679,0.01,0.28
680,0.01,0.28
681,0.01,0.28
682,0.01,0.28
683,0.01,0.28
684,0.01,0.28
685,0.01,0.28
686,0.01,0.28
687,0.01,0.28
688,0.01,0.29
689,0.01,0.29
