,r,fc
0,0.0000,0.3974
0,0.0050,0.4794
0,0.0100,0.39220000000000005
0,0.0150,0.34009999999999996
0,0.0200,0.3372999999999999
0,0.0250,0.4171000000000001
0,0.0300,0.3211
0,0.0350,0.32730000000000004
0,0.0400,0.4199
0,0.0450,0.39100000000000007
0,0.0500,0.32300000000000006
0,0.0550,0.30250000000000005
0,0.0600,0.2878
0,0.0650,0.2933
0,0.0700,0.2984
0,0.0750,0.29790000000000005
0,0.0800,0.3321
0,0.0850,0.3021
0,0.0900,0.2789
0,0.0950,0.2776
0,0.1000,0.29279999999999995
0,0.1050,0.28300000000000003
0,0.1100,0.2581
0,0.1150,0.2815
0,0.1200,0.2993
0,0.1250,0.231
0,0.1300,0.263
0,0.1350,0.28750000000000003
0,0.1400,0.24240000000000006
0,0.1450,0.2878
0,0.1500,0.2581
0,0.1550,0.2519
0,0.1600,0.2623
0,0.1650,0.27759999999999996
0,0.1700,0.28129999999999994
0,0.1750,0.28769999999999996
0,0.1800,0.2809
0,0.1850,0.2817
0,0.1900,0.27240000000000003
0,0.1950,0.2717
0,0.2000,0.2706
0,0.2050,0.2407
0,0.2100,0.27780000000000005
0,0.2150,0.27899999999999997
0,0.2200,0.282
0,0.2250,0.2798
0,0.2300,0.2781
0,0.2350,0.27310000000000006
0,0.2400,0.2785
0,0.2450,0.2781
0,0.2500,0.267
0,0.2550,0.28159999999999996
0,0.2600,0.2714000000000001
0,0.2650,0.2697
0,0.2700,0.2684000000000001
0,0.2750,0.2781
0,0.2800,0.27869999999999995
0,0.2850,0.2781
0,0.2900,0.26970000000000005
0,0.2950,0.2621
