,r,fc
0,0.0000,0.6752000000000001
0,0.0050,0.6727
0,0.0100,0.6027
0,0.0150,0.6332
0,0.0200,0.637
0,0.0250,0.5963999999999998
0,0.0300,0.5828
0,0.0350,0.5940000000000001
0,0.0400,0.6009
0,0.0450,0.6172
0,0.0500,0.6175
0,0.0550,0.603
0,0.0600,0.5992000000000001
0,0.0650,0.551
0,0.0700,0.5699000000000001
0,0.0750,0.6038
0,0.0800,0.5843
0,0.0850,0.5838000000000001
0,0.0900,0.5857999999999999
0,0.0950,0.5966
0,0.1000,0.5691
0,0.1050,0.5995
0,0.1100,0.5083
0,0.1150,0.5353
0,0.1200,0.5268
0,0.1250,0.5425
0,0.1300,0.5694
0,0.1350,0.5543
0,0.1400,0.5275000000000001
0,0.1450,0.5906
0,0.1500,0.5085999999999999
0,0.1550,0.5428000000000001
0,0.1600,0.5758000000000001
0,0.1650,0.519
0,0.1700,0.5013000000000001
0,0.1750,0.5625000000000001
0,0.1800,0.5459999999999999
0,0.1850,0.5312000000000001
0,0.1900,0.5403000000000001
0,0.1950,0.5742
0,0.2000,0.5184000000000001
0,0.2050,0.4978
0,0.2100,0.4843999999999999
0,0.2150,0.5057
0,0.2200,0.5210000000000001
0,0.2250,0.503
0,0.2300,0.48800000000000004
0,0.2350,0.49810000000000004
0,0.2400,0.4886999999999999
0,0.2450,0.4921
0,0.2500,0.48400000000000004
0,0.2550,0.4828
0,0.2600,0.4775
0,0.2650,0.502
0,0.2700,0.4691
0,0.2750,0.4969000000000001
0,0.2800,0.5217
0,0.2850,0.49300000000000005
0,0.2900,0.484
0,0.2950,0.46590000000000004
0,0.3000,0.5014
0,0.3050,0.5315
0,0.3100,0.4718
0,0.3150,0.49780000000000013
0,0.3200,0.4752999999999999
0,0.3250,0.4923999999999999
0,0.3300,0.5059
0,0.3350,0.4489
0,0.3400,0.48469999999999996
0,0.3450,0.49279999999999996
0,0.3500,0.4685
0,0.3550,0.4633
0,0.3600,0.477
0,0.3650,0.4534000000000001
0,0.3700,0.37349999999999994
0,0.3750,0.5038999999999999
0,0.3800,0.4583
0,0.3850,0.4807
0,0.3900,0.4637
0,0.3950,0.41319999999999996
0,0.4000,0.44770000000000004
0,0.4050,0.39620000000000005
0,0.4100,0.4422
0,0.4150,0.4709999999999999
0,0.4200,0.44720000000000015
0,0.4250,0.5054
0,0.4300,0.41850000000000004
0,0.4350,0.4638999999999999
0,0.4400,0.42769999999999997
0,0.4450,0.4523
0,0.4500,0.47379999999999994
0,0.4550,0.4944999999999999
0,0.4600,0.484
0,0.4650,0.4863
0,0.4700,0.4429
0,0.4750,0.4546
0,0.4800,0.47179999999999994
0,0.4850,0.4465
0,0.4900,0.40589999999999987
0,0.4950,0.39390000000000003
