,r,fc,fl
0,0.0000,0.4954934375,0.011314687500000002
0,0.0100,0.432101875,0.026812656250000004
0,0.0200,0.33002296875000003,0.043609375
0,0.0300,0.31690562499999997,0.041390937499999995
0,0.0400,0.23022874999999998,0.04814875
0,0.0500,0.20170234374999998,0.09036828125
0,0.0600,0.19556359375,0.05117484374999999
0,0.0700,0.16910328125000001,0.058900156249999995
0,0.0800,0.18562906249999997,0.0686590625
0,0.0900,0.18803531249999997,0.07714437500000002
0,0.1000,0.14775890625,0.082705
0,0.1100,0.153546875,0.0680375
0,0.1200,0.12907468750000003,0.09952328125
0,0.1300,0.1398990625,0.08518890625
0,0.1400,0.148161875,0.10164984375
0,0.1500,0.12956796874999998,0.10268749999999999
0,0.1600,0.10593296874999998,0.09472078124999998
0,0.1700,0.14163718749999998,0.10068140625000001
0,0.1800,0.09967625,0.129833125
0,0.1900,0.12305484375,0.12604921874999997
0,0.2000,0.0984334375,0.12672515624999997
0,0.2100,0.080455,0.10431984375
0,0.2200,0.05576890625,0.15745015625
0,0.2300,0.0784609375,0.14561640625
0,0.2400,0.0775046875,0.13103421875000001
0,0.2500,0.05637078125,0.15412140625
0,0.2600,0.0495325,0.12520218749999998
0,0.2700,0.03623703125,0.11614
0,0.2800,0.05349062500000001,0.14924296874999998
0,0.2900,0.027675000000000005,0.17996437499999998
0,0.3000,0.02596328125,0.14452140625
0,0.3100,0.009697031249999998,0.16694640624999998
0,0.3200,0.010309375,0.17416625
0,0.3300,0.021114687500000003,0.16993156250000002
0,0.3400,0.012825156250000002,0.1612878125
0,0.3500,0.004379218750000001,0.16852390625
0,0.3600,0.005630312500000001,0.1689309375
0,0.3700,0.00250234375,0.1909246875
0,0.3800,0.004378906250000001,0.16977203125
0,0.3900,0.0068798437500000005,0.17988859375000002
0,0.4000,0.00406640625,0.22047812499999997
0,0.4100,0.00391,0.1893878125
0,0.4200,0.0028151562500000004,0.19007968749999998
0,0.4300,0.0029715625,0.17039203125
0,0.4400,0.00328125,0.193915625
0,0.4500,0.0064125000000000015,0.19479125
0,0.4600,0.005,0.20730171875000003
0,0.4700,0.0017203125000000005,0.18529046875
0,0.4800,0.004066406249999998,0.2104375
0,0.4900,0.0026587499999999997,0.2028471875
