,fc,fl
0,0.33328125,0.33859375
1,0.33328125,0.33859375
2,0.33328125,0.33859375
3,0.33328125,0.33859375
4,0.33328125,0.33859375
5,0.33328125,0.33875
6,0.333125,0.33875
7,0.333125,0.33875
8,0.33296875,0.33890625
9,0.33296875,0.33890625
10,0.33296875,0.33890625
11,0.33296875,0.33890625
12,0.33296875,0.33890625
13,0.3328125,0.33890625
14,0.3328125,0.33890625
15,0.3328125,0.33890625
16,0.3328125,0.33890625
17,0.3328125,0.33890625
18,0.33296875,0.33890625
19,0.33296875,0.33890625
20,0.33296875,0.33890625
21,0.33296875,0.33890625
22,0.33296875,0.33875
23,0.3328125,0.33890625
24,0.3328125,0.33890625
25,0.3328125,0.33890625
26,0.33296875,0.33875
27,0.33296875,0.33875
28,0.3328125,0.33875
29,0.33296875,0.33859375
30,0.33296875,0.33859375
31,0.33296875,0.33859375
32,0.33296875,0.33859375
33,0.33296875,0.33859375
34,0.3328125,0.33859375
35,0.3328125,0.33859375
36,0.33265625,0.33859375
37,0.33265625,0.33859375
38,0.33265625,0.33859375
39,0.33265625,0.33859375
40,0.3328125,0.3384375
41,0.3328125,0.3384375
42,0.3328125,0.33828125
43,0.3328125,0.33828125
44,0.33265625,0.3384375
45,0.33265625,0.3384375
46,0.33265625,0.3384375
47,0.33265625,0.3384375
48,0.33265625,0.3384375
49,0.33265625,0.3384375
50,0.33265625,0.3384375
51,0.33265625,0.33859375
52,0.33265625,0.33859375
53,0.3328125,0.3384375
54,0.3328125,0.33859375
55,0.3328125,0.33859375
56,0.3328125,0.33859375
57,0.3328125,0.3384375
58,0.33265625,0.33859375
59,0.33265625,0.33859375
60,0.3325,0.33875
61,0.3325,0.33875
62,0.3325,0.33875
63,0.3325,0.33875
64,0.3325,0.33875
65,0.3325,0.33875
66,0.3325,0.33875
67,0.3325,0.33859375
68,0.33234375,0.33859375
69,0.33234375,0.33859375
70,0.33234375,0.33859375
71,0.33234375,0.33859375
