,r,t,fc
0,0.9000,213.0,0.38
0,0.9000,214.0,0.38
0,0.9000,215.0,0.39
0,0.9000,216.0,0.39
0,0.9000,217.0,0.39
0,0.9000,218.0,0.39
0,0.9000,219.0,0.39
0,0.9000,220.0,0.4
0,0.9000,221.0,0.41
0,0.9000,222.0,0.41
0,0.9000,223.0,0.42
0,0.9000,224.0,0.42
0,0.9000,225.0,0.42
0,0.9000,226.0,0.42
0,0.9000,227.0,0.41
0,0.9000,228.0,0.41
0,0.9000,229.0,0.41
0,0.9000,230.0,0.41
0,0.9000,231.0,0.41
0,0.9000,232.0,0.41
0,0.9000,233.0,0.41
0,0.9000,234.0,0.41
0,0.9000,235.0,0.41
0,0.9000,236.0,0.41
0,0.9000,237.0,0.4
0,0.9000,238.0,0.4
0,0.9000,239.0,0.4
0,0.9000,240.0,0.39
0,0.9000,241.0,0.38
0,0.9000,242.0,0.38
0,0.9000,243.0,0.39
0,0.9000,244.0,0.39
0,0.9000,245.0,0.4
0,0.9000,246.0,0.39
0,0.9000,247.0,0.39
0,0.9000,248.0,0.39
0,0.9000,249.0,0.39
0,0.9000,250.0,0.39
0,0.9000,251.0,0.39
0,0.9000,252.0,0.39
0,0.9000,253.0,0.39
0,0.9000,254.0,0.39
0,0.9000,255.0,0.39
0,0.9000,256.0,0.38
0,0.9000,257.0,0.38
0,0.9000,258.0,0.38
0,0.9000,259.0,0.37
0,0.9000,260.0,0.37
0,0.9000,261.0,0.37
0,0.9000,262.0,0.37
0,0.9000,263.0,0.37
0,0.9000,264.0,0.38
0,0.9000,265.0,0.38
0,0.9000,266.0,0.38
0,0.9000,267.0,0.38
0,0.9000,268.0,0.38
0,0.9000,269.0,0.38
0,0.9000,270.0,0.38
0,0.9000,271.0,0.38
0,0.9000,272.0,0.38
0,0.9000,273.0,0.38
0,0.9000,274.0,0.39
0,0.9000,275.0,0.39
0,0.9000,276.0,0.39
0,0.9000,277.0,0.39
0,0.9000,278.0,0.39
0,0.9000,279.0,0.39
0,0.9000,280.0,0.39
0,0.9000,281.0,0.38
0,0.9000,282.0,0.38
0,0.9000,283.0,0.38
0,0.9000,284.0,0.38
0,0.9000,285.0,0.38
0,0.9000,286.0,0.38
0,0.9000,287.0,0.39
0,0.9000,288.0,0.39
0,0.9000,289.0,0.39
0,0.9000,290.0,0.39
0,0.9000,291.0,0.39
0,0.9000,292.0,0.39
0,0.9000,293.0,0.4
0,0.9000,294.0,0.41
0,0.9000,295.0,0.41
0,0.9000,296.0,0.41
0,0.9000,297.0,0.41
0,0.9000,298.0,0.41
0,0.9000,299.0,0.41
0,0.9000,300.0,0.41
0,0.9000,301.0,0.41
0,0.9000,302.0,0.41
0,0.9000,303.0,0.41
0,0.9000,304.0,0.41
0,0.9000,305.0,0.41
0,0.9000,306.0,0.41
0,0.9000,307.0,0.41
0,0.9000,308.0,0.41
0,0.9000,309.0,0.41
0,0.9000,310.0,0.41
0,0.9000,311.0,0.4
0,0.9000,312.0,0.41
0,0.9000,313.0,0.41
0,0.9000,314.0,0.41
0,0.9000,315.0,0.41
0,0.9000,316.0,0.41
0,0.9000,317.0,0.41
0,0.9000,318.0,0.41
0,0.9000,319.0,0.41
0,0.9000,320.0,0.41
0,0.9000,321.0,0.41
0,0.9000,322.0,0.41
0,0.9000,323.0,0.41
0,0.9000,324.0,0.42
0,0.9000,325.0,0.42
0,0.9000,326.0,0.43
0,0.9000,327.0,0.44
0,0.9000,328.0,0.44
0,0.9000,329.0,0.44
0,0.9000,330.0,0.44
0,0.9000,331.0,0.44
0,0.9000,332.0,0.44
0,0.9000,333.0,0.44
0,0.9000,334.0,0.44
0,0.9000,335.0,0.44
0,0.9000,336.0,0.44
0,0.9000,337.0,0.44
0,0.9000,338.0,0.44
0,0.9000,339.0,0.45
0,0.9000,340.0,0.44
0,0.9000,341.0,0.44
0,0.9000,342.0,0.44
0,0.9000,343.0,0.43
0,0.9000,344.0,0.43
0,0.9000,345.0,0.43
0,0.9000,346.0,0.44
0,0.9000,347.0,0.44
0,0.9000,348.0,0.44
0,0.9000,349.0,0.44
0,0.9000,350.0,0.44
0,0.9000,351.0,0.44
0,0.9000,352.0,0.44
0,0.9000,353.0,0.44
0,0.9000,354.0,0.44
0,0.9000,355.0,0.44
0,0.9000,356.0,0.44
0,0.9000,357.0,0.44
0,0.9000,358.0,0.45
0,0.9000,359.0,0.44
0,0.9000,360.0,0.44
0,0.9000,361.0,0.44
0,0.9000,362.0,0.44
0,0.9000,363.0,0.44
0,0.9000,364.0,0.44
0,0.9000,365.0,0.44
0,0.9000,366.0,0.44
0,0.9000,367.0,0.45
0,0.9000,368.0,0.45
0,0.9000,369.0,0.45
0,0.9000,370.0,0.45
0,0.9000,371.0,0.45
0,0.9000,372.0,0.45
0,0.9000,373.0,0.45
0,0.9000,374.0,0.44
0,0.9000,375.0,0.44
0,0.9000,376.0,0.44
0,0.9000,377.0,0.44
0,0.9000,378.0,0.44
0,0.9000,379.0,0.44
0,0.9000,380.0,0.44
0,0.9000,381.0,0.44
0,0.9000,382.0,0.44
