Episode:99, r:0.8850, Time:608, fc:0.640
Episode:99, r:0.8850, Time:609, fc:0.640
Episode:99, r:0.8850, Time:610, fc:0.640
Episode:99, r:0.8850, Time:611, fc:0.640
Episode:99, r:0.8850, Time:612, fc:0.640
Episode:99, r:0.8850, Time:613, fc:0.640
Episode:99, r:0.8850, Time:614, fc:0.640
Episode:99, r:0.8850, Time:615, fc:0.640
Episode:99, r:0.8850, Time:616, fc:0.650
Episode:99, r:0.8850, Time:617, fc:0.650
Episode:99, r:0.8850, Time:618, fc:0.650
Episode:99, r:0.8850, Time:619, fc:0.660
Episode:99, r:0.8850, Time:620, fc:0.660
Episode:99, r:0.8850, Time:621, fc:0.660
Episode:99, r:0.8850, Time:622, fc:0.660
Episode:99, r:0.8850, Time:623, fc:0.660
Episode:99, r:0.8850, Time:624, fc:0.660
Episode:99, r:0.8850, Time:625, fc:0.660
Episode:99, r:0.8850, Time:626, fc:0.660
Episode:99, r:0.8850, Time:627, fc:0.660
Episode:99, r:0.8850, Time:628, fc:0.660
Episode:99, r:0.8850, Time:629, fc:0.660
Episode:99, r:0.8850, Time:630, fc:0.660
Episode:99, r:0.8850, Time:631, fc:0.660
Episode:99, r:0.8850, Time:632, fc:0.670
Episode:99, r:0.8850, Time:633, fc:0.670
Episode:99, r:0.8850, Time:634, fc:0.670
Episode:99, r:0.8850, Time:635, fc:0.680
Episode:99, r:0.8850, Time:636, fc:0.680
Episode:99, r:0.8850, Time:637, fc:0.680
Episode:99, r:0.8850, Time:638, fc:0.680
Episode:99, r:0.8850, Time:639, fc:0.680
Episode:99, r:0.8850, Time:640, fc:0.680
Episode:99, r:0.8850, Time:641, fc:0.680
Episode:99, r:0.8850, Time:642, fc:0.680
Episode:99, r:0.8850, Time:643, fc:0.680
Episode:99, r:0.8850, Time:644, fc:0.680
Episode:99, r:0.8850, Time:645, fc:0.680
Episode:99, r:0.8850, Time:646, fc:0.680
Episode:99, r:0.8850, Time:647, fc:0.680
Episode:99, r:0.8850, Time:648, fc:0.680
Episode:99, r:0.8850, Time:649, fc:0.680
Episode:99, r:0.8850, Time:650, fc:0.680
Episode:99, r:0.8850, Time:651, fc:0.690
Episode:99, r:0.8850, Time:652, fc:0.700
Episode:99, r:0.8850, Time:653, fc:0.700
Episode:99, r:0.8850, Time:654, fc:0.700
Episode:99, r:0.8850, Time:655, fc:0.700
Episode:99, r:0.8850, Time:656, fc:0.700
Episode:99, r:0.8850, Time:657, fc:0.700
Episode:99, r:0.8850, Time:658, fc:0.700
Episode:99, r:0.8850, Time:659, fc:0.700
Episode:99, r:0.8850, Time:660, fc:0.700
Episode:99, r:0.8850, Time:661, fc:0.700
Episode:99, r:0.8850, Time:662, fc:0.700
Episode:99, r:0.8850, Time:663, fc:0.700
Episode:99, r:0.8850, Time:664, fc:0.700
Episode:99, r:0.8850, Time:665, fc:0.700
Episode:99, r:0.8850, Time:666, fc:0.700
Episode:99, r:0.8850, Time:667, fc:0.700
Episode:99, r:0.8850, Time:668, fc:0.700
Episode:99, r:0.8850, Time:669, fc:0.700
Episode:99, r:0.8850, Time:670, fc:0.700
Episode:99, r:0.8850, Time:671, fc:0.700
Episode:99, r:0.8850, Time:672, fc:0.700
Episode:99, r:0.8850, Time:673, fc:0.700
Episode:99, r:0.8850, Time:674, fc:0.700
Episode:99, r:0.8850, Time:675, fc:0.700
Episode:99, r:0.8850, Time:676, fc:0.700
Episode:99, r:0.8850, Time:677, fc:0.700
Episode:99, r:0.8850, Time:678, fc:0.700
Episode:99, r:0.8850, Time:679, fc:0.700
Episode:99, r:0.8850, Time:680, fc:0.710
Episode:99, r:0.8850, Time:681, fc:0.710
Episode:99, r:0.8850, Time:682, fc:0.710
Episode:99, r:0.8850, Time:683, fc:0.710
Episode:99, r:0.8850, Time:684, fc:0.710
Episode:99, r:0.8850, Time:685, fc:0.710
Episode:99, r:0.8850, Time:686, fc:0.710
Episode:99, r:0.8850, Time:687, fc:0.720
Episode:99, r:0.8850, Time:688, fc:0.730
Episode:99, r:0.8850, Time:689, fc:0.730
Episode:99, r:0.8850, Time:690, fc:0.740
Episode:99, r:0.8850, Time:691, fc:0.740
Episode:99, r:0.8850, Time:692, fc:0.740
Episode:99, r:0.8850, Time:693, fc:0.750
Episode:99, r:0.8850, Time:694, fc:0.750
Episode:99, r:0.8850, Time:695, fc:0.750
Episode:99, r:0.8850, Time:696, fc:0.750
Episode:99, r:0.8850, Time:697, fc:0.750
Episode:99, r:0.8850, Time:698, fc:0.750
Episode:99, r:0.8850, Time:699, fc:0.750
Episode:99, r:0.8850, Time:700, fc:0.750
Episode:99, r:0.8850, Time:701, fc:0.750
Episode:99, r:0.8850, Time:702, fc:0.750
Episode:99, r:0.8850, Time:703, fc:0.750
