,r,fc
0,0.0000,0.30670000000000003
0,0.0050,0.3536000000000001
0,0.0100,0.3232
0,0.0150,0.3538
0,0.0200,0.3610999999999999
0,0.0250,0.33899999999999997
0,0.0300,0.3126
0,0.0350,0.2876
0,0.0400,0.29290000000000005
0,0.0450,0.26890000000000003
0,0.0500,0.25149999999999995
0,0.0550,0.28
0,0.0600,0.2829
0,0.0650,0.2725
0,0.0700,0.2811
0,0.0750,0.2692
0,0.0800,0.2773
0,0.0850,0.2777
0,0.0900,0.28200000000000003
0,0.0950,0.2705
0,0.1000,0.26970000000000005
0,0.1050,0.27109999999999995
0,0.1100,0.26780000000000004
0,0.1150,0.27060000000000006
0,0.1200,0.27799999999999997
0,0.1250,0.269
0,0.1300,0.26170000000000004
0,0.1350,0.2676
0,0.1400,0.2501
0,0.1450,0.263
0,0.1500,0.2726
0,0.1550,0.2776
0,0.1600,0.26139999999999997
0,0.1650,0.2585
0,0.1700,0.2702
0,0.1750,0.2612
0,0.1800,0.27160000000000006
0,0.1850,0.2692
0,0.1900,0.24990000000000007
0,0.1950,0.26170000000000004
0,0.2000,0.259
0,0.2050,0.25039999999999996
0,0.2100,0.25170000000000003
0,0.2150,0.2617
0,0.2200,0.259
0,0.2250,0.25880000000000003
0,0.2300,0.2673
0,0.2350,0.24970000000000003
0,0.2400,0.24209999999999998
0,0.2450,0.24229999999999996
0,0.2500,0.2572
0,0.2550,0.2504
0,0.2600,0.25959999999999994
0,0.2650,0.2599
0,0.2700,0.2494
0,0.2750,0.2576
0,0.2800,0.2591
0,0.2850,0.24899999999999994
0,0.2900,0.25849999999999995
0,0.2950,0.24969999999999998
0,0.3000,0.2491
0,0.3050,0.25109999999999993
0,0.3100,0.26170000000000004
0,0.3150,0.252
0,0.3200,0.2506
0,0.3250,0.252
0,0.3300,0.24810000000000001
0,0.3350,0.2523000000000001
0,0.3400,0.2521
0,0.3450,0.2401
0,0.3500,0.24730000000000005
0,0.3550,0.24810000000000001
0,0.3600,0.23929999999999998
0,0.3650,0.24860000000000004
0,0.3700,0.2521
0,0.3750,0.24810000000000001
0,0.3800,0.24770000000000003
0,0.3850,0.2487
0,0.3900,0.24169999999999997
0,0.3950,0.2419
0,0.4000,0.2506
0,0.4050,0.2513
0,0.4100,0.23840000000000006
0,0.4150,0.24919999999999998
0,0.4200,0.24250000000000005
0,0.4250,0.24789999999999995
0,0.4300,0.2474
0,0.4350,0.24840000000000004
0,0.4400,0.2483
0,0.4450,0.2508
0,0.4500,0.24
0,0.4550,0.23770000000000002
0,0.4600,0.2518
0,0.4650,0.252
0,0.4700,0.24900000000000003
0,0.4750,0.24900000000000003
0,0.4800,0.24830000000000002
0,0.4850,0.2379
0,0.4900,0.24180000000000004
0,0.4950,0.24020000000000002
