,r,fc
0,0.0000,0.7086000000000001
0,0.0050,0.7487000000000004
0,0.0100,0.8377
0,0.0150,0.7136
0,0.0200,0.7770000000000004
0,0.0250,0.8036
0,0.0300,0.6563000000000001
0,0.0350,0.6523
0,0.0400,0.5846000000000001
0,0.0450,0.5649000000000001
0,0.0500,0.6417
0,0.0550,0.5569000000000001
0,0.0600,0.5787
0,0.0650,0.5883999999999999
0,0.0700,0.5791000000000001
0,0.0750,0.6149
0,0.0800,0.6805999999999999
0,0.0850,0.5328
0,0.0900,0.5429
0,0.0950,0.6534
0,0.1000,0.5531000000000001
0,0.1050,0.5344000000000001
0,0.1100,0.5411
0,0.1150,0.5342999999999999
0,0.1200,0.5466000000000001
0,0.1250,0.4793
0,0.1300,0.5242
0,0.1350,0.47950000000000004
0,0.1400,0.4732
0,0.1450,0.4669
0,0.1500,0.46730000000000005
0,0.1550,0.5093000000000001
0,0.1600,0.5339
0,0.1650,0.5278
0,0.1700,0.5016999999999999
0,0.1750,0.5376000000000001
0,0.1800,0.46649999999999997
0,0.1850,0.5133
0,0.1900,0.4927
0,0.1950,0.4725
0,0.2000,0.5159999999999999
0,0.2050,0.48230000000000006
0,0.2100,0.46069999999999994
0,0.2150,0.4615000000000001
0,0.2200,0.46930000000000016
0,0.2250,0.47779999999999995
0,0.2300,0.46720000000000006
0,0.2350,0.4775
0,0.2400,0.4783
0,0.2450,0.4604000000000001
0,0.2500,0.45840000000000003
0,0.2550,0.4539
0,0.2600,0.456
0,0.2650,0.4581
0,0.2700,0.4539000000000001
0,0.2750,0.45770000000000005
0,0.2800,0.4565000000000001
0,0.2850,0.47350000000000003
0,0.2900,0.4583
0,0.2950,0.46029999999999993
0,0.3000,0.44880000000000003
0,0.3050,0.44569999999999993
0,0.3100,0.44420000000000004
0,0.3150,0.4614999999999999
0,0.3200,0.4557
0,0.3250,0.45160000000000006
0,0.3300,0.47859999999999997
0,0.3350,0.4556
0,0.3400,0.44079999999999997
0,0.3450,0.44420000000000015
0,0.3500,0.4494
0,0.3550,0.4575999999999999
0,0.3600,0.4529000000000001
0,0.3650,0.4457000000000001
0,0.3700,0.447
0,0.3750,0.42650000000000005
0,0.3800,0.44970000000000004
0,0.3850,0.43990000000000007
0,0.3900,0.4404
0,0.3950,0.44290000000000007
0,0.4000,0.4399
0,0.4050,0.45169999999999993
0,0.4100,0.4341
0,0.4150,0.4401000000000001
0,0.4200,0.4572
0,0.4250,0.4501000000000001
0,0.4300,0.43810000000000004
0,0.4350,0.44040000000000007
0,0.4400,0.42579999999999996
0,0.4450,0.4434
0,0.4500,0.44129999999999997
0,0.4550,0.4182999999999999
0,0.4600,0.4207
0,0.4650,0.44720000000000004
0,0.4700,0.4257999999999999
0,0.4750,0.44320000000000015
0,0.4800,0.3802
0,0.4850,0.44980000000000003
0,0.4900,0.41239999999999993
0,0.4950,0.428
