,fc,fl
0,0.33,0.3
1,0.33,0.3
2,0.33,0.3
3,0.33,0.3
4,0.33,0.3
5,0.34,0.29
6,0.34,0.3
7,0.34,0.3
8,0.34,0.31
9,0.34,0.3
10,0.34,0.3
11,0.34,0.3
12,0.34,0.3
13,0.34,0.3
14,0.34,0.3
15,0.34,0.3
16,0.35,0.29
17,0.35,0.29
18,0.35,0.29
19,0.35,0.29
20,0.35,0.29
21,0.35,0.29
22,0.34,0.3
23,0.34,0.3
24,0.34,0.3
25,0.34,0.3
26,0.34,0.3
27,0.35,0.29
28,0.34,0.29
29,0.34,0.29
30,0.33,0.29
31,0.33,0.29
32,0.32,0.3
33,0.32,0.3
34,0.32,0.3
35,0.32,0.3
36,0.32,0.3
37,0.32,0.3
38,0.32,0.3
39,0.32,0.3
40,0.32,0.3
41,0.32,0.3
42,0.32,0.3
43,0.31,0.31
44,0.31,0.31
45,0.31,0.32
46,0.31,0.32
47,0.31,0.32
48,0.3,0.33
49,0.3,0.33
50,0.3,0.33
51,0.3,0.33
52,0.3,0.33
53,0.3,0.33
54,0.3,0.33
55,0.3,0.33
56,0.31,0.32
57,0.3,0.32
58,0.3,0.33
59,0.3,0.33
60,0.3,0.33
61,0.3,0.33
62,0.3,0.33
63,0.3,0.34
64,0.3,0.33
65,0.3,0.33
66,0.29,0.34
67,0.29,0.34
68,0.29,0.34
69,0.29,0.34
70,0.28,0.34
71,0.28,0.34
72,0.28,0.34
73,0.28,0.34
74,0.28,0.34
75,0.28,0.34
76,0.28,0.34
77,0.28,0.34
78,0.28,0.35
79,0.28,0.35
80,0.28,0.35
81,0.28,0.35
82,0.28,0.35
83,0.27,0.35
84,0.27,0.35
85,0.27,0.35
86,0.26,0.35
87,0.25,0.35
88,0.25,0.34
89,0.25,0.34
90,0.25,0.34
91,0.25,0.34
92,0.25,0.34
93,0.25,0.34
94,0.25,0.34
95,0.25,0.34
96,0.26,0.33
97,0.26,0.33
98,0.26,0.33
99,0.26,0.33
100,0.26,0.33
101,0.26,0.33
102,0.26,0.33
103,0.27,0.32
104,0.27,0.32
105,0.28,0.32
106,0.28,0.32
107,0.28,0.32
108,0.28,0.32
109,0.28,0.32
110,0.28,0.32
111,0.27,0.32
112,0.27,0.32
113,0.27,0.32
114,0.27,0.31
115,0.27,0.32
116,0.27,0.32
117,0.27,0.32
118,0.27,0.32
119,0.27,0.32
120,0.27,0.32
121,0.27,0.32
122,0.27,0.32
123,0.27,0.32
124,0.27,0.32
125,0.27,0.32
126,0.26,0.32
127,0.26,0.32
128,0.26,0.32
129,0.26,0.32
130,0.26,0.32
131,0.27,0.31
132,0.27,0.31
133,0.27,0.31
134,0.26,0.31
135,0.26,0.31
136,0.26,0.31
137,0.26,0.32
138,0.26,0.32
139,0.26,0.32
140,0.26,0.32
141,0.26,0.32
142,0.26,0.33
143,0.26,0.33
144,0.26,0.33
145,0.26,0.33
146,0.26,0.33
147,0.26,0.33
148,0.27,0.32
149,0.27,0.32
150,0.27,0.32
151,0.27,0.32
152,0.26,0.32
153,0.26,0.32
154,0.27,0.31
155,0.27,0.31
156,0.27,0.31
157,0.27,0.31
158,0.27,0.31
159,0.27,0.31
160,0.27,0.31
161,0.27,0.31
162,0.27,0.31
163,0.27,0.31
164,0.26,0.31
165,0.26,0.31
166,0.26,0.3
167,0.26,0.3
168,0.26,0.3
169,0.26,0.3
